中文名,英文名,等级,等级内序号,海克斯名称
暗裔剑魔,Aatrox,棱彩,1,歌利亚巨人
暗裔剑魔,Aatrox,棱彩,2,珠光护手
暗裔剑魔,Aatrox,棱彩,3,小丑学院
暗裔剑魔,Aatrox,棱彩,4,最终形态
暗裔剑魔,Aatrox,棱彩,5,利刃华尔兹
暗裔剑魔,Aatrox,棱彩,6,全凭身法
暗裔剑魔,Aatrox,棱彩,7,秘术冲拳
暗裔剑魔,Aatrox,棱彩,8,战争交响乐
暗裔剑魔,Aatrox,棱彩,9,巨人杀手
暗裔剑魔,Aatrox,棱彩,10,质变：混沌
暗裔剑魔,Aatrox,棱彩,11,无限循环往复
暗裔剑魔,Aatrox,棱彩,12,扳机炼狱
暗裔剑魔,Aatrox,棱彩,13,你摸不到
暗裔剑魔,Aatrox,棱彩,14,巨像的勇气
暗裔剑魔,Aatrox,棱彩,15,科学狂人
暗裔剑魔,Aatrox,棱彩,16,全能龙魂
暗裔剑魔,Aatrox,棱彩,17,量子计算
暗裔剑魔,Aatrox,棱彩,18,踢踏舞
暗裔剑魔,Aatrox,棱彩,19,终极刷新
暗裔剑魔,Aatrox,棱彩,20,风语者的祝福
暗裔剑魔,Aatrox,棱彩,21,蛋白粉奶昔
暗裔剑魔,Aatrox,棱彩,22,史上最大雪球
暗裔剑魔,Aatrox,棱彩,23,终极唤醒
暗裔剑魔,Aatrox,棱彩,24,神圣雪球
暗裔剑魔,Aatrox,棱彩,25,舞会女王
暗裔剑魔,Aatrox,棱彩,26,当心小蛋糕！
暗裔剑魔,Aatrox,棱彩,27,飞身踢
暗裔剑魔,Aatrox,黄金,1,魔鬼之舞
暗裔剑魔,Aatrox,黄金,2,裁决使
暗裔剑魔,Aatrox,黄金,3,狂徒豪气
暗裔剑魔,Aatrox,黄金,4,古式佳酿
暗裔剑魔,Aatrox,黄金,5,穿针引线
暗裔剑魔,Aatrox,黄金,6,会心治疗
暗裔剑魔,Aatrox,黄金,7,杀戮时间到了
